,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,gov_raw_county_vote_totals_two_party
26539,2002.0,17119.0,G,GOV,Republican Open Seat,43980.0,33052.0,77032.0
26540,2006.0,17119.0,G,GOV,Democratic Incumbent,43620.0,31008.0,74628.0
26541,2010.0,17119.0,G,GOV,Democratic Incumbent,33060.0,44382.0,77442.0
26542,2014.0,17119.0,G,GOV,Democratic Incumbent,28444.0,46075.0,74519.0
26543,2018.0,17119.0,G,GOV,Republican Open Seat,46374.0,48138.0,94512.0
26578,2002.0,17121.0,G,GOV,Republican Open Seat,7039.0,5525.0,12564.0
26579,2006.0,17121.0,G,GOV,Democratic Incumbent,5090.0,6281.0,11371.0
26580,2010.0,17121.0,G,GOV,Democratic Incumbent,4168.0,7016.0,11184.0
26581,2014.0,17121.0,G,GOV,Democratic Incumbent,2291.0,8683.0,10974.0
26582,2018.0,17121.0,G,GOV,Republican Open Seat,4194.0,7358.0,11552.0
26617,2002.0,17123.0,G,GOV,Republican Open Seat,2014.0,2745.0,4759.0
26618,2006.0,17123.0,G,GOV,Democratic Incumbent,1607.0,2205.0,3812.0
26619,2010.0,17123.0,G,GOV,Democratic Incumbent,1162.0,2744.0,3906.0
26620,2014.0,17123.0,G,GOV,Democratic Incumbent,1285.0,2666.0,3951.0
26621,2018.0,17123.0,G,GOV,Republican Open Seat,1428.0,2763.0,4191.0
26656,2002.0,17125.0,G,GOV,Republican Open Seat,2952.0,2781.0,5733.0
26657,2006.0,17125.0,G,GOV,Democratic Incumbent,1895.0,2405.0,4300.0
26658,2010.0,17125.0,G,GOV,Democratic Incumbent,1594.0,2836.0,4430.0
26659,2014.0,17125.0,G,GOV,Democratic Incumbent,1891.0,2952.0,4843.0
26660,2018.0,17125.0,G,GOV,Republican Open Seat,1790.0,2599.0,4389.0
26695,2002.0,17127.0,G,GOV,Republican Open Seat,2835.0,2391.0,5226.0
26696,2006.0,17127.0,G,GOV,Democratic Incumbent,2882.0,1888.0,4770.0
26697,2010.0,17127.0,G,GOV,Democratic Incumbent,1513.0,3170.0,4683.0
26698,2014.0,17127.0,G,GOV,Democratic Incumbent,1268.0,2828.0,4096.0
26699,2018.0,17127.0,G,GOV,Republican Open Seat,1527.0,3363.0,4890.0
26734,2002.0,17129.0,G,GOV,Republican Open Seat,2103.0,3424.0,5527.0
26735,2006.0,17129.0,G,GOV,Democratic Incumbent,882.0,3608.0,4490.0
26736,2010.0,17129.0,G,GOV,Democratic Incumbent,1324.0,3159.0,4483.0
26737,2014.0,17129.0,G,GOV,Democratic Incumbent,1371.0,3239.0,4610.0
26738,2018.0,17129.0,G,GOV,Republican Open Seat,1619.0,3049.0,4668.0
26773,2002.0,17131.0,G,GOV,Republican Open Seat,3131.0,3498.0,6629.0
26774,2006.0,17131.0,G,GOV,Democratic Incumbent,3206.0,2668.0,5874.0
26775,2010.0,17131.0,G,GOV,Democratic Incumbent,2403.0,3710.0,6113.0
26776,2014.0,17131.0,G,GOV,Democratic Incumbent,2377.0,3823.0,6200.0
26777,2018.0,17131.0,G,GOV,Republican Open Seat,2546.0,3658.0,6204.0
26812,2002.0,17133.0,G,GOV,Republican Open Seat,4823.0,5342.0,10165.0
26813,2006.0,17133.0,G,GOV,Democratic Incumbent,5410.0,4993.0,10403.0
26814,2010.0,17133.0,G,GOV,Democratic Incumbent,3849.0,7639.0,11488.0
26815,2014.0,17133.0,G,GOV,Democratic Incumbent,3138.0,8843.0,11981.0
26816,2018.0,17133.0,G,GOV,Republican Open Seat,5291.0,9348.0,14639.0
26851,2002.0,17135.0,G,GOV,Republican Open Seat,5613.0,4375.0,9988.0
26852,2006.0,17135.0,G,GOV,Democratic Incumbent,3991.0,5794.0,9785.0
26853,2010.0,17135.0,G,GOV,Democratic Incumbent,3262.0,5670.0,8932.0
26854,2014.0,17135.0,G,GOV,Democratic Incumbent,2752.0,5260.0,8012.0
26855,2018.0,17135.0,G,GOV,Republican Open Seat,3940.0,4669.0,8609.0
26890,2002.0,17137.0,G,GOV,Republican Open Seat,5465.0,6288.0,11753.0
26891,2006.0,17137.0,G,GOV,Democratic Incumbent,3349.0,7057.0,10406.0
26892,2010.0,17137.0,G,GOV,Democratic Incumbent,3162.0,6738.0,9900.0
26893,2014.0,17137.0,G,GOV,Democratic Incumbent,3182.0,7192.0,10374.0
26894,2018.0,17137.0,G,GOV,Republican Open Seat,3207.0,5382.0,8589.0
26929,2002.0,17139.0,G,GOV,Republican Open Seat,2276.0,2715.0,4991.0
26930,2006.0,17139.0,G,GOV,Democratic Incumbent,1668.0,2397.0,4065.0
26931,2010.0,17139.0,G,GOV,Democratic Incumbent,1117.0,3346.0,4463.0
26932,2014.0,17139.0,G,GOV,Democratic Incumbent,1021.0,3261.0,4282.0
26933,2018.0,17139.0,G,GOV,Republican Open Seat,1181.0,3271.0,4452.0
26968,2002.0,17141.0,G,GOV,Republican Open Seat,5739.0,8838.0,14577.0
26969,2006.0,17141.0,G,GOV,Democratic Incumbent,4965.0,7034.0,11999.0
26970,2010.0,17141.0,G,GOV,Democratic Incumbent,4542.0,11318.0,15860.0
26971,2014.0,17141.0,G,GOV,Democratic Incumbent,5015.0,11236.0,16251.0
26972,2018.0,17141.0,G,GOV,Republican Open Seat,6384.0,10198.0,16582.0
27007,2002.0,17143.0,G,GOV,Republican Open Seat,24370.0,29399.0,53769.0
27008,2006.0,17143.0,G,GOV,Democratic Incumbent,21387.0,23662.0,45049.0
27009,2010.0,17143.0,G,GOV,Democratic Incumbent,20039.0,28955.0,48994.0
27010,2014.0,17143.0,G,GOV,Democratic Incumbent,21232.0,28127.0,49359.0
27011,2018.0,17143.0,G,GOV,Republican Open Seat,31238.0,28254.0,59492.0
27046,2002.0,17145.0,G,GOV,Republican Open Seat,4572.0,3691.0,8263.0
27047,2006.0,17145.0,G,GOV,Democratic Incumbent,3709.0,2777.0,6486.0
27048,2010.0,17145.0,G,GOV,Democratic Incumbent,2997.0,3898.0,6895.0
27049,2014.0,17145.0,G,GOV,Democratic Incumbent,2294.0,4481.0,6775.0
27050,2018.0,17145.0,G,GOV,Republican Open Seat,3077.0,4309.0,7386.0
27085,2002.0,17147.0,G,GOV,Republican Open Seat,2605.0,3594.0,6199.0
27086,2006.0,17147.0,G,GOV,Democratic Incumbent,1725.0,3760.0,5485.0
27087,2010.0,17147.0,G,GOV,Democratic Incumbent,1619.0,4653.0,6272.0
27088,2014.0,17147.0,G,GOV,Democratic Incumbent,1702.0,4975.0,6677.0
27089,2018.0,17147.0,G,GOV,Republican Open Seat,2180.0,4698.0,6878.0
27124,2002.0,17149.0,G,GOV,Republican Open Seat,2978.0,3785.0,6763.0
27125,2006.0,17149.0,G,GOV,Democratic Incumbent,2243.0,3118.0,5361.0
27126,2010.0,17149.0,G,GOV,Democratic Incumbent,1514.0,4391.0,5905.0
27127,2014.0,17149.0,G,GOV,Democratic Incumbent,1268.0,4110.0,5378.0
27128,2018.0,17149.0,G,GOV,Republican Open Seat,1232.0,2633.0,3865.0
27163,2002.0,17151.0,G,GOV,Republican Open Seat,1010.0,1008.0,2018.0
27164,2006.0,17151.0,G,GOV,Democratic Incumbent,1045.0,784.0,1829.0
27165,2010.0,17151.0,G,GOV,Democratic Incumbent,566.0,1309.0,1875.0
27166,2014.0,17151.0,G,GOV,Democratic Incumbent,409.0,1057.0,1466.0
27167,2018.0,17151.0,G,GOV,Republican Open Seat,433.0,1091.0,1524.0
27202,2002.0,17153.0,G,GOV,Republican Open Seat,1533.0,1268.0,2801.0
27203,2006.0,17153.0,G,GOV,Democratic Incumbent,1587.0,950.0,2537.0
27204,2010.0,17153.0,G,GOV,Democratic Incumbent,1082.0,1631.0,2713.0
27205,2014.0,17153.0,G,GOV,Democratic Incumbent,917.0,1487.0,2404.0
27206,2018.0,17153.0,G,GOV,Republican Open Seat,1005.0,1094.0,2099.0
27241,2002.0,17155.0,G,GOV,Republican Open Seat,1330.0,1138.0,2468.0
27242,2006.0,17155.0,G,GOV,Democratic Incumbent,1039.0,948.0,1987.0
27243,2010.0,17155.0,G,GOV,Democratic Incumbent,913.0,1195.0,2108.0
27244,2014.0,17155.0,G,GOV,Democratic Incumbent,1096.0,1264.0,2360.0
27245,2018.0,17155.0,G,GOV,Republican Open Seat,1088.0,1217.0,2305.0
27280,2002.0,17157.0,G,GOV,Republican Open Seat,6780.0,4461.0,11241.0
27281,2006.0,17157.0,G,GOV,Democratic Incumbent,5889.0,4661.0,10550.0
27282,2010.0,17157.0,G,GOV,Democratic Incumbent,4607.0,6227.0,10834.0
27283,2014.0,17157.0,G,GOV,Democratic Incumbent,3838.0,6607.0,10445.0
27284,2018.0,17157.0,G,GOV,Republican Open Seat,4955.0,5939.0,10894.0
27319,2002.0,17159.0,G,GOV,Republican Open Seat,2639.0,3285.0,5924.0
27320,2006.0,17159.0,G,GOV,Democratic Incumbent,1690.0,3598.0,5288.0
27321,2010.0,17159.0,G,GOV,Democratic Incumbent,1266.0,3684.0,4950.0
27322,2014.0,17159.0,G,GOV,Democratic Incumbent,1171.0,3525.0,4696.0
27323,2018.0,17159.0,G,GOV,Republican Open Seat,1800.0,3692.0,5492.0
27358,2002.0,17161.0,G,GOV,Republican Open Seat,23193.0,18382.0,41575.0
27359,2006.0,17161.0,G,GOV,Democratic Incumbent,26201.0,17168.0,43369.0
27360,2010.0,17161.0,G,GOV,Democratic Incumbent,20514.0,22904.0,43418.0
27361,2014.0,17161.0,G,GOV,Democratic Incumbent,20495.0,22680.0,43175.0
27362,2018.0,17161.0,G,GOV,Republican Open Seat,25774.0,21434.0,47208.0
27397,2002.0,17163.0,G,GOV,Republican Open Seat,38164.0,27324.0,65488.0
27398,2006.0,17163.0,G,GOV,Democratic Incumbent,38441.0,27318.0,65759.0
27399,2010.0,17163.0,G,GOV,Democratic Incumbent,39152.0,37772.0,76924.0
27400,2014.0,17163.0,G,GOV,Democratic Incumbent,33474.0,39438.0,72912.0
27401,2018.0,17163.0,G,GOV,Republican Open Seat,52603.0,40524.0,93127.0
27436,2002.0,17165.0,G,GOV,Republican Open Seat,5062.0,4620.0,9682.0
27437,2006.0,17165.0,G,GOV,Democratic Incumbent,4618.0,3215.0,7833.0
27438,2010.0,17165.0,G,GOV,Democratic Incumbent,3060.0,4448.0,7508.0
27439,2014.0,17165.0,G,GOV,Democratic Incumbent,2375.0,4839.0,7214.0
27440,2018.0,17165.0,G,GOV,Republican Open Seat,3332.0,4608.0,7940.0
27475,2002.0,17167.0,G,GOV,Republican Open Seat,34561.0,43996.0,78557.0
27476,2006.0,17167.0,G,GOV,Democratic Incumbent,15625.0,50332.0,65957.0
27477,2010.0,17167.0,G,GOV,Democratic Incumbent,25038.0,42278.0,67316.0
27478,2014.0,17167.0,G,GOV,Democratic Incumbent,27822.0,39692.0,67514.0
27479,2018.0,17167.0,G,GOV,Republican Open Seat,36538.0,39099.0,75637.0
27514,2002.0,17169.0,G,GOV,Republican Open Seat,1509.0,2108.0,3617.0
27515,2006.0,17169.0,G,GOV,Democratic Incumbent,1101.0,1577.0,2678.0
27516,2010.0,17169.0,G,GOV,Democratic Incumbent,845.0,1891.0,2736.0
27517,2014.0,17169.0,G,GOV,Democratic Incumbent,990.0,2051.0,3041.0
27518,2018.0,17169.0,G,GOV,Republican Open Seat,973.0,1525.0,2498.0
27553,2002.0,17171.0,G,GOV,Republican Open Seat,1021.0,1269.0,2290.0
27554,2006.0,17171.0,G,GOV,Democratic Incumbent,627.0,1197.0,1824.0
27555,2010.0,17171.0,G,GOV,Democratic Incumbent,422.0,1235.0,1657.0
27556,2014.0,17171.0,G,GOV,Democratic Incumbent,480.0,1538.0,2018.0
27557,2018.0,17171.0,G,GOV,Republican Open Seat,388.0,882.0,1270.0
27592,2002.0,17173.0,G,GOV,Republican Open Seat,3289.0,4714.0,8003.0
27593,2006.0,17173.0,G,GOV,Democratic Incumbent,2271.0,4238.0,6509.0
27594,2010.0,17173.0,G,GOV,Democratic Incumbent,1819.0,5638.0,7457.0
27595,2014.0,17173.0,G,GOV,Democratic Incumbent,1780.0,5726.0,7506.0
27596,2018.0,17173.0,G,GOV,Republican Open Seat,1975.0,5694.0,7669.0
27631,2002.0,17175.0,G,GOV,Republican Open Seat,839.0,1371.0,2210.0
27632,2006.0,17175.0,G,GOV,Democratic Incumbent,705.0,1138.0,1843.0
27633,2010.0,17175.0,G,GOV,Democratic Incumbent,543.0,1242.0,1785.0
27634,2014.0,17175.0,G,GOV,Democratic Incumbent,537.0,1246.0,1783.0
27635,2018.0,17175.0,G,GOV,Republican Open Seat,586.0,1219.0,1805.0
27670,2002.0,17177.0,G,GOV,Republican Open Seat,5358.0,8047.0,13405.0
27671,2006.0,17177.0,G,GOV,Democratic Incumbent,5163.0,5773.0,10936.0
27672,2010.0,17177.0,G,GOV,Democratic Incumbent,4209.0,9293.0,13502.0
27673,2014.0,17177.0,G,GOV,Democratic Incumbent,4558.0,9338.0,13896.0
27674,2018.0,17177.0,G,GOV,Republican Open Seat,5760.0,8560.0,14320.0
27709,2002.0,17179.0,G,GOV,Republican Open Seat,16149.0,23448.0,39597.0
27710,2006.0,17179.0,G,GOV,Democratic Incumbent,16062.0,19826.0,35888.0
27711,2010.0,17179.0,G,GOV,Democratic Incumbent,13189.0,29248.0,42437.0
27712,2014.0,17179.0,G,GOV,Democratic Incumbent,13538.0,26991.0,40529.0
27713,2018.0,17179.0,G,GOV,Republican Open Seat,17859.0,27986.0,45845.0
27748,2002.0,17181.0,G,GOV,Republican Open Seat,3335.0,3264.0,6599.0
27749,2006.0,17181.0,G,GOV,Democratic Incumbent,2961.0,2624.0,5585.0
27750,2010.0,17181.0,G,GOV,Democratic Incumbent,2411.0,3676.0,6087.0
27751,2014.0,17181.0,G,GOV,Democratic Incumbent,1887.0,3900.0,5787.0
27752,2018.0,17181.0,G,GOV,Republican Open Seat,2875.0,3794.0,6669.0
27787,2002.0,17183.0,G,GOV,Republican Open Seat,11517.0,11742.0,23259.0
27788,2006.0,17183.0,G,GOV,Democratic Incumbent,9360.0,11054.0,20414.0
27789,2010.0,17183.0,G,GOV,Democratic Incumbent,6561.0,14251.0,20812.0
27790,2014.0,17183.0,G,GOV,Democratic Incumbent,6290.0,14028.0,20318.0
27791,2018.0,17183.0,G,GOV,Republican Open Seat,7573.0,12402.0,19975.0
27826,2002.0,17185.0,G,GOV,Republican Open Seat,1414.0,2755.0,4169.0
27827,2006.0,17185.0,G,GOV,Democratic Incumbent,1398.0,2958.0,4356.0
27828,2010.0,17185.0,G,GOV,Democratic Incumbent,1054.0,2728.0,3782.0
27829,2014.0,17185.0,G,GOV,Democratic Incumbent,885.0,2809.0,3694.0
27830,2018.0,17185.0,G,GOV,Republican Open Seat,1093.0,2528.0,3621.0
27865,2002.0,17187.0,G,GOV,Republican Open Seat,2332.0,3604.0,5936.0
27866,2006.0,17187.0,G,GOV,Democratic Incumbent,2405.0,3127.0,5532.0
27867,2010.0,17187.0,G,GOV,Democratic Incumbent,1965.0,3602.0,5567.0
27868,2014.0,17187.0,G,GOV,Democratic Incumbent,1923.0,3281.0,5204.0
27869,2018.0,17187.0,G,GOV,Republican Open Seat,2268.0,3261.0,5529.0
27904,2002.0,17189.0,G,GOV,Republican Open Seat,2681.0,3169.0,5850.0
27905,2006.0,17189.0,G,GOV,Democratic Incumbent,2433.0,3328.0,5761.0
27906,2010.0,17189.0,G,GOV,Democratic Incumbent,1495.0,3950.0,5445.0
27907,2014.0,17189.0,G,GOV,Democratic Incumbent,1004.0,4354.0,5358.0
27908,2018.0,17189.0,G,GOV,Republican Open Seat,1536.0,4031.0,5567.0
27943,2002.0,17191.0,G,GOV,Republican Open Seat,2246.0,4865.0,7111.0
27944,2006.0,17191.0,G,GOV,Democratic Incumbent,1714.0,5051.0,6765.0
27945,2010.0,17191.0,G,GOV,Democratic Incumbent,1123.0,5404.0,6527.0
27946,2014.0,17191.0,G,GOV,Democratic Incumbent,625.0,4899.0,5524.0
27947,2018.0,17191.0,G,GOV,Republican Open Seat,1015.0,4340.0,5355.0
27982,2002.0,17193.0,G,GOV,Republican Open Seat,3085.0,3668.0,6753.0
27983,2006.0,17193.0,G,GOV,Democratic Incumbent,2021.0,3655.0,5676.0
27984,2010.0,17193.0,G,GOV,Democratic Incumbent,1510.0,3537.0,5047.0
27985,2014.0,17193.0,G,GOV,Democratic Incumbent,1339.0,4358.0,5697.0
27986,2018.0,17193.0,G,GOV,Republican Open Seat,1480.0,3891.0,5371.0
28021,2002.0,17195.0,G,GOV,Republican Open Seat,8214.0,8020.0,16234.0
28022,2006.0,17195.0,G,GOV,Democratic Incumbent,8258.0,7649.0,15907.0
28023,2010.0,17195.0,G,GOV,Democratic Incumbent,6981.0,10510.0,17491.0
28024,2014.0,17195.0,G,GOV,Democratic Incumbent,7125.0,9436.0,16561.0
28025,2018.0,17195.0,G,GOV,Republican Open Seat,9371.0,10221.0,19592.0
28060,2002.0,17197.0,G,GOV,Republican Open Seat,63888.0,77091.0,140979.0
28061,2006.0,17197.0,G,GOV,Democratic Incumbent,73944.0,67066.0,141010.0
28062,2010.0,17197.0,G,GOV,Democratic Incumbent,79786.0,97831.0,177617.0
28063,2014.0,17197.0,G,GOV,Democratic Incumbent,81548.0,109319.0,190867.0
28064,2018.0,17197.0,G,GOV,Republican Open Seat,123292.0,107859.0,231151.0
28099,2002.0,17199.0,G,GOV,Republican Open Seat,9627.0,11054.0,20681.0
28100,2006.0,17199.0,G,GOV,Democratic Incumbent,8493.0,8198.0,16691.0
28101,2010.0,17199.0,G,GOV,Democratic Incumbent,8654.0,12240.0,20894.0
28102,2014.0,17199.0,G,GOV,Democratic Incumbent,6177.0,13081.0,19258.0
28103,2018.0,17199.0,G,GOV,Republican Open Seat,9440.0,14471.0,23911.0
28138,2002.0,17201.0,G,GOV,Republican Open Seat,37060.0,36798.0,73858.0
28139,2006.0,17201.0,G,GOV,Democratic Incumbent,32383.0,26147.0,58530.0
28140,2010.0,17201.0,G,GOV,Democratic Incumbent,28398.0,46492.0,74890.0
28141,2014.0,17201.0,G,GOV,Democratic Incumbent,30691.0,44785.0,75476.0
28142,2018.0,17201.0,G,GOV,Republican Open Seat,43440.0,41156.0,84596.0
28177,2002.0,17203.0,G,GOV,Republican Open Seat,3955.0,8350.0,12305.0
28178,2006.0,17203.0,G,GOV,Democratic Incumbent,3146.0,7299.0,10445.0
28179,2010.0,17203.0,G,GOV,Democratic Incumbent,2990.0,10170.0,13160.0
28180,2014.0,17203.0,G,GOV,Democratic Incumbent,3209.0,10061.0,13270.0
28181,2018.0,17203.0,G,GOV,Republican Open Seat,4097.0,10457.0,14554.0
28216,2004.0,18001.0,G,GOV,Democratic Open Seat,4816.0,8350.0,13166.0
28217,2008.0,18001.0,G,GOV,Republican Incumbent,4938.0,8291.0,13229.0
28218,2012.0,18001.0,G,GOV,Republican Open Seat,4521.0,8109.0,12630.0
28219,2016.0,18001.0,G,GOV,Republican Open Seat,4272.0,8408.0,12680.0
28220,2020.0,18001.0,G,GOV,Republican Incumbent,2143.0,9441.0,11584.0
28255,2004.0,18003.0,G,GOV,Democratic Open Seat,53899.0,73689.0,127588.0
28256,2008.0,18003.0,G,GOV,Republican Incumbent,55027.0,89938.0,144965.0
28257,2012.0,18003.0,G,GOV,Republican Open Seat,61491.0,78869.0,140360.0
28258,2016.0,18003.0,G,GOV,Republican Open Seat,61879.0,80458.0,142337.0
28259,2020.0,18003.0,G,GOV,Republican Incumbent,53895.0,98406.0,152301.0
28294,2004.0,18005.0,G,GOV,Democratic Open Seat,11008.0,16858.0,27866.0
28295,2008.0,18005.0,G,GOV,Republican Incumbent,8447.0,21547.0,29994.0
28296,2012.0,18005.0,G,GOV,Republican Open Seat,10608.0,17417.0,28025.0
28297,2016.0,18005.0,G,GOV,Republican Open Seat,11869.0,19063.0,30932.0
28298,2020.0,18005.0,G,GOV,Republican Incumbent,9013.0,21959.0,30972.0
28333,2004.0,18007.0,G,GOV,Democratic Open Seat,1498.0,2432.0,3930.0
28334,2008.0,18007.0,G,GOV,Republican Incumbent,1308.0,2398.0,3706.0
28335,2012.0,18007.0,G,GOV,Republican Open Seat,1374.0,1944.0,3318.0
28336,2016.0,18007.0,G,GOV,Republican Open Seat,1201.0,2318.0,3519.0
28337,2020.0,18007.0,G,GOV,Republican Incumbent,671.0,2815.0,3486.0
28372,2004.0,18009.0,G,GOV,Democratic Open Seat,2567.0,2741.0,5308.0
28373,2008.0,18009.0,G,GOV,Republican Incumbent,2221.0,3098.0,5319.0
28374,2012.0,18009.0,G,GOV,Republican Open Seat,2012.0,2433.0,4445.0
28375,2016.0,18009.0,G,GOV,Republican Open Seat,1857.0,2719.0,4576.0
28376,2020.0,18009.0,G,GOV,Republican Incumbent,933.0,3333.0,4266.0
28411,2004.0,18011.0,G,GOV,Democratic Open Seat,6326.0,16189.0,22515.0
28412,2008.0,18011.0,G,GOV,Republican Incumbent,4633.0,21352.0,25985.0
28413,2012.0,18011.0,G,GOV,Republican Open Seat,8711.0,17416.0,26127.0
28414,2016.0,18011.0,G,GOV,Republican Open Seat,11868.0,19269.0,31137.0
28415,2020.0,18011.0,G,GOV,Republican Incumbent,9661.0,23737.0,33398.0
28450,2004.0,18013.0,G,GOV,Democratic Open Seat,3118.0,4010.0,7128.0
28451,2008.0,18013.0,G,GOV,Republican Incumbent,2880.0,4967.0,7847.0
28452,2012.0,18013.0,G,GOV,Republican Open Seat,3409.0,3774.0,7183.0
28453,2016.0,18013.0,G,GOV,Republican Open Seat,3201.0,4488.0,7689.0
28454,2020.0,18013.0,G,GOV,Republican Incumbent,2381.0,4953.0,7334.0
28489,2004.0,18015.0,G,GOV,Democratic Open Seat,3387.0,5090.0,8477.0
28490,2008.0,18015.0,G,GOV,Republican Incumbent,2925.0,5586.0,8511.0
28491,2012.0,18015.0,G,GOV,Republican Open Seat,3136.0,4169.0,7305.0
28492,2016.0,18015.0,G,GOV,Republican Open Seat,2923.0,5381.0,8304.0
28493,2020.0,18015.0,G,GOV,Republican Incumbent,1569.0,6077.0,7646.0
28528,2004.0,18017.0,G,GOV,Democratic Open Seat,5808.0,7946.0,13754.0
28529,2008.0,18017.0,G,GOV,Republican Incumbent,6418.0,8831.0,15249.0
28530,2012.0,18017.0,G,GOV,Republican Open Seat,6253.0,7114.0,13367.0
28531,2016.0,18017.0,G,GOV,Republican Open Seat,5662.0,8059.0,13721.0
28532,2020.0,18017.0,G,GOV,Republican Incumbent,3373.0,8833.0,12206.0
28567,2004.0,18019.0,G,GOV,Democratic Open Seat,20964.0,20471.0,41435.0
28568,2008.0,18019.0,G,GOV,Republican Incumbent,17821.0,28622.0,46443.0
28569,2012.0,18019.0,G,GOV,Republican Open Seat,20134.0,24343.0,44477.0
28570,2016.0,18019.0,G,GOV,Republican Open Seat,20293.0,28440.0,48733.0
28571,2020.0,18019.0,G,GOV,Republican Incumbent,19077.0,34669.0,53746.0
28606,2004.0,18021.0,G,GOV,Democratic Open Seat,4677.0,5724.0,10401.0
28607,2008.0,18021.0,G,GOV,Republican Incumbent,5055.0,5986.0,11041.0
28608,2012.0,18021.0,G,GOV,Republican Open Seat,4765.0,5547.0,10312.0
28609,2016.0,18021.0,G,GOV,Republican Open Seat,4260.0,6457.0,10717.0
28610,2020.0,18021.0,G,GOV,Republican Incumbent,1780.0,8164.0,9944.0
28645,2004.0,18023.0,G,GOV,Democratic Open Seat,4129.0,7537.0,11666.0
28646,2008.0,18023.0,G,GOV,Republican Incumbent,3658.0,8322.0,11980.0
28647,2012.0,18023.0,G,GOV,Republican Open Seat,3876.0,5412.0,9288.0
28648,2016.0,18023.0,G,GOV,Republican Open Seat,4120.0,7126.0,11246.0
28649,2020.0,18023.0,G,GOV,Republican Incumbent,2406.0,7971.0,10377.0
28684,2004.0,18025.0,G,GOV,Democratic Open Seat,2231.0,2231.0,4462.0
28685,2008.0,18025.0,G,GOV,Republican Incumbent,2869.0,1869.0,4738.0
28686,2012.0,18025.0,G,GOV,Republican Open Seat,2267.0,2099.0,4366.0
28687,2016.0,18025.0,G,GOV,Republican Open Seat,1924.0,2381.0,4305.0
28688,2020.0,18025.0,G,GOV,Republican Incumbent,1242.0,3064.0,4306.0
28723,2004.0,18027.0,G,GOV,Democratic Open Seat,4049.0,6223.0,10272.0
28724,2008.0,18027.0,G,GOV,Republican Incumbent,3978.0,6043.0,10021.0
28725,2012.0,18027.0,G,GOV,Republican Open Seat,4396.0,5386.0,9782.0
28726,2016.0,18027.0,G,GOV,Republican Open Seat,4049.0,6460.0,10509.0
28727,2020.0,18027.0,G,GOV,Republican Incumbent,1531.0,8313.0,9844.0
28762,2004.0,18029.0,G,GOV,Democratic Open Seat,7573.0,12514.0,20087.0
28763,2008.0,18029.0,G,GOV,Republican Incumbent,6540.0,14536.0,21076.0
28764,2012.0,18029.0,G,GOV,Republican Open Seat,6211.0,14354.0,20565.0
28765,2016.0,18029.0,G,GOV,Republican Open Seat,5936.0,16606.0,22542.0
28766,2020.0,18029.0,G,GOV,Republican Incumbent,4559.0,18353.0,22912.0
28801,2004.0,18031.0,G,GOV,Democratic Open Seat,3524.0,6355.0,9879.0
28802,2008.0,18031.0,G,GOV,Republican Incumbent,2534.0,7486.0,10020.0
28803,2012.0,18031.0,G,GOV,Republican Open Seat,3182.0,6479.0,9661.0
28804,2016.0,18031.0,G,GOV,Republican Open Seat,3291.0,7231.0,10522.0
28805,2020.0,18031.0,G,GOV,Republican Incumbent,1562.0,7911.0,9473.0
28840,2004.0,18033.0,G,GOV,Democratic Open Seat,6012.0,9242.0,15254.0
28841,2008.0,18033.0,G,GOV,Republican Incumbent,6752.0,9562.0,16314.0
28842,2012.0,18033.0,G,GOV,Republican Open Seat,5848.0,9583.0,15431.0
28843,2016.0,18033.0,G,GOV,Republican Open Seat,5340.0,10501.0,15841.0
28844,2020.0,18033.0,G,GOV,Republican Incumbent,3293.0,13042.0,16335.0
28879,2004.0,18035.0,G,GOV,Democratic Open Seat,24132.0,22917.0,47049.0
28880,2008.0,18035.0,G,GOV,Republican Incumbent,20588.0,27876.0,48464.0
28881,2012.0,18035.0,G,GOV,Republican Open Seat,21920.0,19996.0,41916.0
28882,2016.0,18035.0,G,GOV,Republican Open Seat,22195.0,20777.0,42972.0
28883,2020.0,18035.0,G,GOV,Republican Incumbent,15638.0,26829.0,42467.0
28918,2004.0,18037.0,G,GOV,Democratic Open Seat,6871.0,9385.0,16256.0
28919,2008.0,18037.0,G,GOV,Republican Incumbent,7938.0,9946.0,17884.0
28920,2012.0,18037.0,G,GOV,Republican Open Seat,6958.0,10931.0,17889.0
28921,2016.0,18037.0,G,GOV,Republican Open Seat,8171.0,10821.0,18992.0
28922,2020.0,18037.0,G,GOV,Republican Incumbent,4586.0,14403.0,18989.0
28957,2004.0,18039.0,G,GOV,Democratic Open Seat,22406.0,38430.0,60836.0
28958,2008.0,18039.0,G,GOV,Republican Incumbent,28114.0,40983.0,69097.0
28959,2012.0,18039.0,G,GOV,Republican Open Seat,26358.0,38997.0,65355.0
28960,2016.0,18039.0,G,GOV,Republican Open Seat,23749.0,40161.0,63910.0
28961,2020.0,18039.0,G,GOV,Republican Incumbent,20512.0,46223.0,66735.0
28996,2004.0,18041.0,G,GOV,Democratic Open Seat,4224.0,4981.0,9205.0
28997,2008.0,18041.0,G,GOV,Republican Incumbent,3670.0,5373.0,9043.0
28998,2012.0,18041.0,G,GOV,Republican Open Seat,3664.0,4574.0,8238.0
28999,2016.0,18041.0,G,GOV,Republican Open Seat,3369.0,5485.0,8854.0
29000,2020.0,18041.0,G,GOV,Republican Incumbent,1707.0,6933.0,8640.0
29035,2004.0,18043.0,G,GOV,Democratic Open Seat,16503.0,16869.0,33372.0
