,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,gov_raw_county_vote_totals_two_party
664,2002.0,1027.0,G,GOV,Democratic Incumbent,2094.0,3176.0,5270.0
665,2006.0,1027.0,G,GOV,Republican Incumbent,1904.0,2893.0,4797.0
666,2010.0,1027.0,G,GOV,Republican Open Seat,2069.0,3248.0,5317.0
667,2014.0,1027.0,G,GOV,Republican Incumbent,1223.0,3214.0,4437.0
668,2018.0,1027.0,G,GOV,Republican Open Seat,1241.0,4164.0,5405.0
711,2002.0,1029.0,G,GOV,Democratic Incumbent,2172.0,2680.0,4852.0
712,2006.0,1029.0,G,GOV,Republican Incumbent,1415.0,2662.0,4077.0
713,2010.0,1029.0,G,GOV,Republican Open Seat,1471.0,3678.0,5149.0
714,2014.0,1029.0,G,GOV,Republican Incumbent,717.0,3129.0,3846.0
715,2018.0,1029.0,G,GOV,Republican Open Seat,508.0,3902.0,4410.0
759,2002.0,1031.0,G,GOV,Democratic Incumbent,5839.0,6846.0,12685.0
760,2006.0,1031.0,G,GOV,Republican Incumbent,4526.0,8634.0,13160.0
761,2010.0,1031.0,G,GOV,Republican Open Seat,5647.0,9535.0,15182.0
762,2014.0,1031.0,G,GOV,Republican Incumbent,2405.0,8555.0,10960.0
763,2018.0,1031.0,G,GOV,Republican Open Seat,3782.0,12117.0,15899.0
806,2002.0,1033.0,G,GOV,Democratic Incumbent,9783.0,7069.0,16852.0
807,2006.0,1033.0,G,GOV,Republican Incumbent,8281.0,7386.0,15667.0
808,2010.0,1033.0,G,GOV,Republican Open Seat,7586.0,9181.0,16767.0
809,2014.0,1033.0,G,GOV,Republican Incumbent,6119.0,9551.0,15670.0
810,2018.0,1033.0,G,GOV,Republican Open Seat,7692.0,13180.0,20872.0
854,2002.0,1035.0,G,GOV,Democratic Incumbent,2638.0,2276.0,4914.0
855,2006.0,1035.0,G,GOV,Republican Incumbent,2252.0,1975.0,4227.0
856,2010.0,1035.0,G,GOV,Republican Open Seat,2982.0,2311.0,5293.0
857,2014.0,1035.0,G,GOV,Republican Incumbent,2344.0,2373.0,4717.0
858,2018.0,1035.0,G,GOV,Republican Open Seat,2444.0,2473.0,4917.0
902,2002.0,1037.0,G,GOV,Democratic Incumbent,2521.0,1812.0,4333.0
903,2006.0,1037.0,G,GOV,Republican Incumbent,2404.0,1915.0,4319.0
904,2010.0,1037.0,G,GOV,Republican Open Seat,2342.0,2068.0,4410.0
905,2014.0,1037.0,G,GOV,Republican Incumbent,1579.0,2260.0,3839.0
906,2018.0,1037.0,G,GOV,Republican Open Seat,1522.0,2785.0,4307.0
950,2002.0,1039.0,G,GOV,Democratic Incumbent,4931.0,6362.0,11293.0
951,2006.0,1039.0,G,GOV,Republican Incumbent,4055.0,7196.0,11251.0
952,2010.0,1039.0,G,GOV,Republican Open Seat,4328.0,7832.0,12160.0
953,2014.0,1039.0,G,GOV,Republican Incumbent,1777.0,6155.0,7932.0
954,2018.0,1039.0,G,GOV,Republican Open Seat,2168.0,9852.0,12020.0
997,2002.0,1041.0,G,GOV,Democratic Incumbent,1931.0,2386.0,4317.0
998,2006.0,1041.0,G,GOV,Republican Incumbent,1775.0,2511.0,4286.0
999,2010.0,1041.0,G,GOV,Republican Open Seat,2632.0,2880.0,5512.0
1000,2014.0,1041.0,G,GOV,Republican Incumbent,1767.0,2956.0,4723.0
1001,2018.0,1041.0,G,GOV,Republican Open Seat,1522.0,3873.0,5395.0
1039,2002.0,1043.0,G,GOV,Democratic Incumbent,10974.0,14049.0,25023.0
1040,2006.0,1043.0,G,GOV,Republican Incumbent,9531.0,15081.0,24612.0
1041,2010.0,1043.0,G,GOV,Republican Open Seat,8803.0,21115.0,29918.0
1042,2014.0,1043.0,G,GOV,Republican Incumbent,3698.0,16606.0,20304.0
1043,2018.0,1043.0,G,GOV,Republican Open Seat,4309.0,24361.0,28670.0
1087,2002.0,1045.0,G,GOV,Democratic Incumbent,5106.0,6717.0,11823.0
1088,2006.0,1045.0,G,GOV,Republican Incumbent,4098.0,8287.0,12385.0
1089,2010.0,1045.0,G,GOV,Republican Open Seat,6093.0,7905.0,13998.0
1090,2014.0,1045.0,G,GOV,Republican Incumbent,2794.0,8171.0,10965.0
1091,2018.0,1045.0,G,GOV,Republican Open Seat,3731.0,10528.0,14259.0
1135,2002.0,1047.0,G,GOV,Democratic Incumbent,10285.0,5663.0,15948.0
1136,2006.0,1047.0,G,GOV,Republican Incumbent,8698.0,5409.0,14107.0
1137,2010.0,1047.0,G,GOV,Republican Open Seat,11118.0,4567.0,15685.0
1138,2014.0,1047.0,G,GOV,Republican Incumbent,8456.0,4116.0,12572.0
1139,2018.0,1047.0,G,GOV,Republican Open Seat,10295.0,4917.0,15212.0
1183,2002.0,1049.0,G,GOV,Democratic Incumbent,8547.0,9502.0,18049.0
1184,2006.0,1049.0,G,GOV,Republican Incumbent,6878.0,10532.0,17410.0
1185,2010.0,1049.0,G,GOV,Republican Open Seat,9125.0,11289.0,20414.0
1186,2014.0,1049.0,G,GOV,Republican Incumbent,3682.0,12593.0,16275.0
1187,2018.0,1049.0,G,GOV,Republican Open Seat,4087.0,17316.0,21403.0
1230,2002.0,1051.0,G,GOV,Democratic Incumbent,6830.0,13834.0,20664.0
1231,2006.0,1051.0,G,GOV,Republican Incumbent,6146.0,14594.0,20740.0
1232,2010.0,1051.0,G,GOV,Republican Open Seat,8724.0,17439.0,26163.0
1233,2014.0,1051.0,G,GOV,Republican Incumbent,5561.0,15215.0,20776.0
1234,2018.0,1051.0,G,GOV,Republican Open Seat,7722.0,21752.0,29474.0
1277,2002.0,1053.0,G,GOV,Democratic Incumbent,3972.0,4776.0,8748.0
1278,2006.0,1053.0,G,GOV,Republican Incumbent,3547.0,5202.0,8749.0
1279,2010.0,1053.0,G,GOV,Republican Open Seat,4091.0,6487.0,10578.0
1280,2014.0,1053.0,G,GOV,Republican Incumbent,3032.0,6013.0,9045.0
1281,2018.0,1053.0,G,GOV,Republican Open Seat,4035.0,8098.0,12133.0
1324,2002.0,1055.0,G,GOV,Democratic Incumbent,17942.0,13371.0,31313.0
1325,2006.0,1055.0,G,GOV,Republican Incumbent,13984.0,14923.0,28907.0
1326,2010.0,1055.0,G,GOV,Republican Open Seat,12710.0,19312.0,32022.0
1327,2014.0,1055.0,G,GOV,Republican Incumbent,8909.0,17539.0,26448.0
1328,2018.0,1055.0,G,GOV,Republican Open Seat,10513.0,24041.0,34554.0
1372,2002.0,1057.0,G,GOV,Democratic Incumbent,3858.0,3368.0,7226.0
1373,2006.0,1057.0,G,GOV,Republican Incumbent,2812.0,3127.0,5939.0
1374,2010.0,1057.0,G,GOV,Republican Open Seat,1885.0,4200.0,6085.0
1375,2014.0,1057.0,G,GOV,Republican Incumbent,1966.0,4849.0,6815.0
1376,2018.0,1057.0,G,GOV,Republican Open Seat,2025.0,5455.0,7480.0
1420,2002.0,1059.0,G,GOV,Democratic Incumbent,4688.0,3708.0,8396.0
1421,2006.0,1059.0,G,GOV,Republican Incumbent,4122.0,3385.0,7507.0
1422,2010.0,1059.0,G,GOV,Republican Open Seat,3947.0,4751.0,8698.0
1423,2014.0,1059.0,G,GOV,Republican Incumbent,2617.0,4950.0,7567.0
1424,2018.0,1059.0,G,GOV,Republican Open Seat,2336.0,6465.0,8801.0
1467,2002.0,1061.0,G,GOV,Democratic Incumbent,2958.0,4751.0,7709.0
1468,2006.0,1061.0,G,GOV,Republican Incumbent,2335.0,4911.0,7246.0
1469,2010.0,1061.0,G,GOV,Republican Open Seat,4079.0,5605.0,9684.0
1470,2014.0,1061.0,G,GOV,Republican Incumbent,1219.0,6119.0,7338.0
1471,2018.0,1061.0,G,GOV,Republican Open Seat,1220.0,7784.0,9004.0
1515,2002.0,1063.0,G,GOV,Democratic Incumbent,3576.0,666.0,4242.0
1516,2006.0,1063.0,G,GOV,Republican Incumbent,3260.0,973.0,4233.0
1517,2010.0,1063.0,G,GOV,Republican Open Seat,3668.0,665.0,4333.0
1518,2014.0,1063.0,G,GOV,Republican Incumbent,2857.0,538.0,3395.0
1519,2018.0,1063.0,G,GOV,Republican Open Seat,3506.0,661.0,4167.0
1562,2002.0,1065.0,G,GOV,Democratic Incumbent,4407.0,1945.0,6352.0
1563,2006.0,1065.0,G,GOV,Republican Incumbent,3335.0,1951.0,5286.0
1564,2010.0,1065.0,G,GOV,Republican Open Seat,4116.0,2402.0,6518.0
1565,2014.0,1065.0,G,GOV,Republican Incumbent,3168.0,2002.0,5170.0
