,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,senate_raw_county_vote_totals_two_party
346,2010.0,1017,G,SEN,Republican Senator re-election,4705.0,5594.0,10299.0
347,2014.0,1017,G,SEN,Republican Senator re-election,0.0,4670.0,4670.0
348,2016.0,1017,G,SEN,Republican Senator re-election,5845.0,7865.0,13710.0
349,2017.0,1017,S,SEN,Republican open seat,4257.0,3312.0,7569.0
350,2020.0,1017,G,SEN,Democratic Senator re-election,6908.0,8312.0,15220.0
382,2002.0,1019,G,SEN,Republican Senator re-election,2754.0,3164.0,5918.0
383,2004.0,1019,G,SEN,Republican Senator re-election,2588.0,6166.0,8754.0
384,2008.0,1019,G,SEN,Republican Senator re-election,2616.0,6820.0,9436.0
385,2010.0,1019,G,SEN,Republican Senator re-election,2111.0,5021.0,7132.0
386,2014.0,1019,G,SEN,Republican Senator re-election,0.0,5193.0,5193.0
387,2016.0,1019,G,SEN,Republican Senator re-election,1915.0,8636.0,10551.0
388,2017.0,1019,S,SEN,Republican open seat,1529.0,4006.0,5535.0
389,2020.0,1019,G,SEN,Democratic Senator re-election,2112.0,10122.0,12234.0
421,2002.0,1021,G,SEN,Republican Senator re-election,4074.0,9278.0,13352.0
422,2004.0,1021,G,SEN,Republican Senator re-election,3103.0,13168.0,16271.0
423,2008.0,1021,G,SEN,Republican Senator re-election,3698.0,13733.0,17431.0
424,2010.0,1021,G,SEN,Republican Senator re-election,2735.0,10801.0,13536.0
425,2014.0,1021,G,SEN,Republican Senator re-election,0.0,9546.0,9546.0
426,2016.0,1021,G,SEN,Republican Senator re-election,3327.0,14582.0,17909.0
427,2017.0,1021,S,SEN,Republican open seat,2306.0,7563.0,9869.0
428,2020.0,1021,G,SEN,Democratic Senator re-election,3499.0,15708.0,19207.0
460,2002.0,1023,G,SEN,Republican Senator re-election,2399.0,2585.0,4984.0
461,2004.0,1023,G,SEN,Republican Senator re-election,3048.0,4018.0,7066.0
462,2008.0,1023,G,SEN,Republican Senator re-election,3530.0,4103.0,7633.0
463,2010.0,1023,G,SEN,Republican Senator re-election,3108.0,3510.0,6618.0
464,2014.0,1023,G,SEN,Republican Senator re-election,0.0,2428.0,2428.0
465,2016.0,1023,G,SEN,Republican Senator re-election,2992.0,4035.0,7027.0
466,2017.0,1023,S,SEN,Republican open seat,2277.0,1949.0,4226.0
467,2020.0,1023,G,SEN,Democratic Senator re-election,3225.0,4188.0,7413.0
499,2002.0,1025,G,SEN,Republican Senator re-election,3640.0,5079.0,8719.0
500,2004.0,1025,G,SEN,Republican Senator re-election,4141.0,6925.0,11066.0
501,2008.0,1025,G,SEN,Republican Senator re-election,5605.0,7532.0,13137.0
502,2010.0,1025,G,SEN,Republican Senator re-election,4483.0,6063.0,10546.0
503,2014.0,1025,G,SEN,Republican Senator re-election,0.0,5083.0,5083.0
504,2016.0,1025,G,SEN,Republican Senator re-election,5558.0,7158.0,12716.0
505,2017.0,1025,S,SEN,Republican open seat,4363.0,3995.0,8358.0
506,2020.0,1025,G,SEN,Democratic Senator re-election,6017.0,7061.0,13078.0
538,2002.0,1027,G,SEN,Republican Senator re-election,1791.0,3329.0,5120.0
539,2004.0,1027,G,SEN,Republican Senator re-election,1552.0,4928.0,6480.0
540,2008.0,1027,G,SEN,Republican Senator re-election,1780.0,4827.0,6607.0
541,2010.0,1027,G,SEN,Republican Senator re-election,1401.0,3829.0,5230.0
542,2014.0,1027,G,SEN,Republican Senator re-election,0.0,3394.0,3394.0
543,2016.0,1027,G,SEN,Republican Senator re-election,1377.0,5147.0,6524.0
544,2017.0,1027,S,SEN,Republican open seat,990.0,2589.0,3579.0
545,2020.0,1027,G,SEN,Democratic Senator re-election,1441.0,5454.0,6895.0
577,2002.0,1029,G,SEN,Republican Senator re-election,1656.0,2931.0,4587.0
578,2004.0,1029,G,SEN,Republican Senator re-election,1151.0,4389.0,5540.0
