"GEO_ID","NAME","H001001","H001002","H001003",
"0500000US13077","Coweta County, Georgia","50171","45673","4498",
"0500000US13079","Crawford County, Georgia","5292","4822","470",
"0500000US13081","Crisp County, Georgia","10734","9079","1655",
"0500000US13083","Dade County, Georgia","7305","6291","1014",
"0500000US13085","Dawson County, Georgia","10425","8433","1992",
"0500000US13087","Decatur County, Georgia","12125","10390","1735",
"0500000US13089","DeKalb County, Georgia","304968(r17781)","271809(r3013)","33159",
"0500000US13091","Dodge County, Georgia","9857","8177","1680",
"0500000US13093","Dooly County, Georgia","6328","5286","1042",
"0500000US13095","Dougherty County, Georgia","40801","36508","4293",
"0500000US13097","Douglas County, Georgia","51672","46624","5048",
"0500000US13099","Early County, Georgia","4975","4228","747",
"0500000US13101","Echols County, Georgia","1558","1329","229",
"0500000US13103","Effingham County, Georgia","19884","18092","1792",
"0500000US13105","Elbert County, Georgia","9583","8063","1520",
"0500000US13107","Emanuel County, Georgia","9968","8430","1538",
"0500000US13109","Evans County, Georgia","4664","4033","631",
"0500000US13111","Fannin County, Georgia","16207","10187","6020",
"0500000US13113","Fayette County, Georgia","40793","38167","2626",
"0500000US13115","Floyd County, Georgia","40551","35930","4621",
"0500000US13117","Forsyth County, Georgia","64052","59433","4619",
"0500000US13119","Franklin County, Georgia","10553","8540","2013",
"0500000US13121","Fulton County, Georgia","437105(r17928)","376377(r3158)","60728",
"0500000US13123","Gilmer County, Georgia","16564","11314","5250",
"0500000US13125","Glascock County, Georgia","1519","1162","357",
"0500000US13127","Glynn County, Georgia","40716","31774","8942",
"0500000US13129","Gordon County, Georgia","22278","19715","2563",
"0500000US13131","Grady County, Georgia","10760","9418","1342",
"0500000US13133","Greene County, Georgia","8688","6519","2169",
"0500000US13135","Gwinnett County, Georgia","291547","268519","23028",
"0500000US13137","Habersham County, Georgia","18146","15472","2674",
"0500000US13139","Hall County, Georgia","68825","60691","8134",
"0500000US13141","Hancock County, Georgia","5360","3341","2019",
"0500000US13143","Haralson County, Georgia","12287","10757","1530",
"0500000US13145","Harris County, Georgia","13397","11823","1574",
"0500000US13147","Hart County, Georgia","13007","10121","2886",
"0500000US13149","Heard County, Georgia","5148","4400","748",
"0500000US13151","Henry County, Georgia","76533","70255","6278",
"0500000US13153","Houston County, Georgia","58325","53051","5274",
"0500000US13155","Irwin County, Georgia","4033","3495","538",
"0500000US13157","Jackson County, Georgia","23752","21343","2409",
"0500000US13159","Jasper County, Georgia","6153","5044","1109",
"0500000US13161","Jeff Davis County, Georgia","6488","5689","799",
"0500000US13163","Jefferson County, Georgia","7298","6241","1057",
"0500000US13165","Jenkins County, Georgia","4221","3192","1029",
"0500000US13167","Johnson County, Georgia","4120","3347","773",
"0500000US13169","Jones County, Georgia","11688","10586","1102",
"0500000US13171","Lamar County, Georgia","7474","6618","856",
"0500000US13173","Lanier County, Georgia","4249","3608","641",
"0500000US13175","Laurens County, Georgia","21368","18641","2727",
"0500000US13177","Lee County, Georgia","10276","9706","570",
"0500000US13179","Liberty County, Georgia","26731","22155","4576",
"0500000US13181","Lincoln County, Georgia","4786","3281","1505",
"0500000US13183","Long County, Georgia","6039","5023","1016",
"0500000US13185","Lowndes County, Georgia","43921","39747","4174",
"0500000US13187","Lumpkin County, Georgia","12925","10989","1936",
"0500000US13189","McDuffie County, Georgia","9319","8289","1030",
"0500000US13191","McIntosh County, Georgia","9220","5971","3249",
"0500000US13193","Macon County, Georgia","6136","4999","1137",
"0500000US13195","Madison County, Georgia","11784","10508","1276",
"0500000US13197","Marion County, Georgia","4156","3420","736",
"0500000US13199","Meriwether County, Georgia","9957","8522","1435",
"0500000US13201","Miller County, Georgia","2791","2426","365",
"0500000US13205","Mitchell County, Georgia","8996","8055","941",
"0500000US13207","Monroe County, Georgia","10710","9662","1048",
"0500000US13209","Montgomery County, Georgia","3921","3287","634",
"0500000US13211","Morgan County, Georgia","7472","6660","812",
"0500000US13213","Murray County, Georgia","15979","14080","1899",
"0500000US13215","Muscogee County, Georgia","82690","74081","8609",
"0500000US13217","Newton County, Georgia","38342","34390","3952",
"0500000US13219","Oconee County, Georgia","12383","11622","761",
"0500000US13221","Oglethorpe County, Georgia","6484","5647","837",
"0500000US13223","Paulding County, Georgia","52130","48105","4025",
"0500000US13225","Peach County, Georgia","11050","9958","1092",
"0500000US13227","Pickens County, Georgia","13692","11291","2401",
"0500000US13229","Pierce County, Georgia","7986","7083","903",
"0500000US13231","Pike County, Georgia","6820","6187","633",
"0500000US13233","Polk County, Georgia","16908","15092","1816",
"0500000US13235","Pulaski County, Georgia","5151","4475","676",
"0500000US13237","Putnam County, Georgia","12804","8601","4203",
"0500000US13239","Quitman County, Georgia","2047","1053","994",
"0500000US13241","Rabun County, Georgia","12313","6780","5533",
"0500000US13243","Randolph County, Georgia","4153","3187","966",
"0500000US13245","Richmond County, Georgia","86331","76924","9407",
"0500000US13247","Rockdale County, Georgia","33272","30027","3245",
"0500000US13249","Schley County, Georgia","2208","1872","336",
"0500000US13251","Screven County, Georgia","6739","5596","1143",
"0500000US13253","Seminole County, Georgia","4797","3509","1288",
"0500000US13255","Spalding County, Georgia","26777","23565","3212",
"0500000US13257","Stephens County, Georgia","12662","10289","2373",
"0500000US13259","Stewart County, Georgia","2383","1862","521",
"0500000US13261","Sumter County, Georgia","13909","12123","1786",
"0500000US13263","Talbot County, Georgia","3399","2832","567",
"0500000US13265","Taliaferro County, Georgia","1015","759","256",
"0500000US13267","Tattnall County, Georgia","9966","8210","1756",
"0500000US13269","Taylor County, Georgia","4563","3522","1041",
"0500000US13271","Telfair County, Georgia","7297","5543","1754",
"0500000US13273","Terrell County, Georgia","4080(r17967)","3519(r3198)","561(r11893)",
"0500000US13275","Thomas County, Georgia","20177","17573","2604",
"0500000US13277","Tift County, Georgia","16434","14836","1598",
"0500000US13279","Toombs County, Georgia","12144","10375","1769",
"0500000US13281","Towns County, Georgia","7731","4510","3221",
"0500000US13283","Treutlen County, Georgia","2992","2543","449",
"0500000US13285","Troup County, Georgia","28046","24828","3218",
"0500000US13287","Turner County, Georgia","3841","3339","502",
"0500000US13289","Twiggs County, Georgia","4235","3634","601",
"0500000US13291","Union County, Georgia","14052","9116","4936",
"0500000US13293","Upson County, Georgia","12161","10716","1445",
"0500000US13295","Walker County, Georgia","30100","26497","3603",
"0500000US13297","Walton County, Georgia","32435","29583","2852",
"0500000US13299","Ware County, Georgia","16326","13654","2672",
